top_traffic_accident_offense,lon,lat,district_id,datetime,date,time,injured,road_description_binned,light_condition_binned,road_condition_binned,tu1_vehicle_type_binned,tu2_vehicle_type_binned,tu1_human_fac_binned,tu2_human_fac_binned,tu1_driver_action_binned,tu2_driver_action_binned,tu1_vehicle_size,tu2_vehicle_size,vehicle_type_match,vehicle_size_diff,abs_vehicle_size_diff,vehicle_size_relation,smaller_vehicle_action,larger_vehicle_action,day_of_week,weekend,weekday,month,hour,is_night,morning_rush,evening_rush,incident_address_clean,is_highway,direction_conflict,index_right,speed_limit,road_name,distance_to_road_m,road_join_quality,road_match_ok,speed_limit_missing,speed_limit_category
TRAF - ACCIDENT - HIT & RUN   ,-104.97633728,39.73987316,6,2025-10-31 22:34:59.999982121,2025-10-31,22:34:59,False,parking_lat,dark_lighted,dry,unknown,passenger,unknown,no_apparent,other_or_invalid,no_action,,2,unknown,,,unknown,unknown,unknown,4,False,True,10,22,True,False,False,900 e colfax ave,False,unknown,9210,25,N EMERSON ST,11.784897175370489,good,True,False,low
TRAF - ACCIDENT               ,-104.84231003,39.79815498,5,2016-09-28 07:50:00.000008943,2016-09-28,07:50:00,False,non_intersection,daylight,dry,pickup_or_utility_van,heavy_or_special_vehicle,no_apparent,no_apparent,reckless_or_speed_related,other_or_invalid,3,5,different,-2,2,vehicle_2_larger,reckless_or_speed_related,other_or_invalid,2,False,True,9,7,False,True,False,e 56th ave / n revere st,False,same_direction,24344,40,E 56TH AVE,0.17707888408962644,excellent,True,False,medium_high
TRAF - ACCIDENT               ,-104.90342694,39.70210215,3,2016-03-14 10:52:59.999998209,2016-03-14,10:52:59,False,non_intersection,daylight,dry,passenger,suv,distracted,no_apparent,careless_or_loss_of_control,other_or_invalid,2,3,different,-1,1,vehicle_2_larger,careless_or_loss_of_control,other_or_invalid,0,False,True,3,10,False,False,False,800 block s quebec st,False,same_direction,25934,35,S QUEBEC ST,7.383102598361495,excellent,True,False,medium
TRAF - ACCIDENT - DUI/DUID    ,-104.9873795,39.72173982,3,2015-04-19 21:00:00.000000000,2015-04-19,21:00:00,False,intersection,dark_lighted,dry,other,passenger,impairment,no_apparent,careless_or_loss_of_control,other_or_invalid,,2,different,,,unknown,unknown,unknown,6,True,False,4,21,True,False,False,300 block n broadway st,False,same_direction,8579,30,N BROADWAY,7.57723085556781,excellent,True,False,medium
TRAF - ACCIDENT               ,-104.90356828,39.77830093,5,2018-06-01 16:31:59.999992847,2018-06-01,16:31:59,False,intersection,daylight,dry,passenger,suv,no_apparent,no_apparent,careless_or_loss_of_control,no_action,2,3,different,-1,1,vehicle_2_larger,careless_or_loss_of_control,no_action,4,False,True,6,16,False,False,True,n northfield quebec st / i70 hwyeb,True,same_direction,29353,40,N NORTHFIELD QUEBEC ST,5.470895327155929,excellent,True,False,medium_high
TRAF - ACCIDENT               ,-104.98359987,39.72906966,6,2016-01-12 12:21:00.000005362,2016-01-12,12:21:00,False,intersection,daylight,dry,passenger,passenger,inexperience_or_unfamiliar,no_apparent,turning,other_or_invalid,2,2,same,0,0,same_size,same_size,same_size,1,False,True,1,12,False,False,False,e 8th ave / n grant st,False,same_direction,5198,25,N GRANT ST,0.07544637669192047,excellent,True,False,low
TRAF - ACCIDENT               ,-104.95760015,39.78043449,2,2015-10-13 16:11:59.999983903,2015-10-13,16:11:59,False,non_intersection,daylight,dry,passenger,passenger,unknown_or_not_observed,unknown,careless_or_loss_of_control,other_or_invalid,2,2,same,0,0,same_size,same_size,same_size,1,False,True,10,16,False,False,True,2400 block e steavenson pl,False,unknown,29285,55,INTERSTATE 70,11.385060041788854,good,True,False,high
TRAF - ACCIDENT - HIT & RUN   ,-104.98441352,39.75961703,2,2024-03-19 20:49:59.999995528,2024-03-19,20:49:59,False,non_intersection,dark_lighted,dry,passenger,passenger,distracted,no_apparent,backing_or_parking_movement,other_or_invalid,2,2,same,0,0,same_size,same_size,same_size,1,False,True,3,20,True,False,False,1300 block 27th st,False,opposite_direction,9393,25,27TH ST,7.82061281858429,excellent,True,False,low
TRAF - ACCIDENT               ,-104.91845106,39.65307972,3,2022-06-28 12:41:00.000014305,2022-06-28,12:41:00,False,non_intersection,daylight,dry,suv,unknown,no_apparent,no_apparent,no_action,no_action,3,,unknown,,,unknown,unknown,unknown,1,False,True,6,12,False,False,False,i25 hwysb / e hampden ave,True,same_direction,27351,40,E HAMPDEN AVE,0.06689005225873777,excellent,True,False,medium_high
TRAF - ACCIDENT - DUI/DUID    ,-104.8143498,39.79608208,5,2024-09-03 03:00:00.000000000,2024-09-03,03:00:00,False,non_intersection,dark_lighted,dry,passenger,passenger,medical_or_fatigue,unknown,careless_or_loss_of_control,other_or_invalid,2,2,same,0,0,same_size,same_size,same_size,1,False,True,9,3,True,False,False,14900 block e pensacola pl,False,unknown,4994,25,E PENSACOLA PL,7.663663348054297,excellent,True,False,low
TRAF - ACCIDENT               ,-104.86588901,39.7756333,5,2025-06-11 13:30:59.999996427,2025-06-11,13:30:59,False,intersection,daylight,dry,passenger,suv,inexperience_or_unfamiliar,no_apparent,careless_or_loss_of_control,no_action,2,3,different,-1,1,vehicle_2_larger,careless_or_loss_of_control,no_action,2,False,True,6,13,False,False,False,i70 hwyeb / n havana st,True,same_direction,19233,55,INTERSTATE 70,0.1863400084531034,excellent,True,False,high
TRAF - ACCIDENT               ,-105.00006807,39.74010815,1,2016-01-29 10:30:59.999996427,2016-01-29,10:30:59,False,non_intersection,daylight,dry,pickup_or_utility_van,pickup_or_utility_van,unknown_or_not_observed,no_apparent,careless_or_loss_of_control,other_or_invalid,3,3,same,0,0,same_size,same_size,same_size,4,False,True,1,10,False,False,False,w colfax ave / n kalamath st,False,same_direction,18890,30,W COLFAX AVE,0.054766994413987656,excellent,True,False,medium
TRAF - ACCIDENT               ,-104.98572105,39.75690221,2,2020-03-09 10:50:00.000008943,2020-03-09,10:50:00,False,unknown,unknown,unknown,other,other,unknown_or_not_observed,unknown_or_not_observed,other_or_invalid,other_or_invalid,,,same,,,unknown,unknown,unknown,0,False,True,3,10,False,False,False,lawrence st / 25th st,False,unknown,4583,25,LAWRENCE ST,0.05348732978194835,excellent,True,False,low
TRAF - ACCIDENT               ,-104.99285911,39.72893699,1,2019-10-17 16:40:00.000004471,2019-10-17,16:40:00,False,intersection,daylight,dry,passenger,passenger,no_apparent,no_apparent,failure_to_yield_or_obey_control,no_action,2,2,same,0,0,same_size,same_size,same_size,3,False,True,10,16,False,False,True,n delaware st / w 8th ave,False,crossing_or_perpendicular,6376,25,N DELAWARE ST,0.07754323728769004,excellent,True,False,low
TRAF - ACCIDENT               ,-104.97662678,39.75444905,2,2022-03-17 14:55:00.000017878,2022-03-17,14:55:00,False,non_intersection,daylight,dry,passenger,pickup_or_utility_van,did_not_see,no_apparent,careless_or_loss_of_control,no_action,2,3,different,-1,1,vehicle_2_larger,careless_or_loss_of_control,no_action,3,False,True,3,14,False,False,False,800 block e 26th ave,False,same_direction,13186,30,E 26TH AVE,19.72747702364643,good,True,False,medium
TRAF - ACCIDENT               ,-104.95979281,39.74476731,2,2018-04-24 22:05:00.000008943,2018-04-24,22:05:00,False,intersection,dark_lighted,wet,passenger,suv,no_apparent,no_apparent,no_action,no_action,2,3,different,-1,1,vehicle_2_larger,no_action,no_action,1,False,True,4,22,True,False,False,e 18th ave / n york st,False,crossing_or_perpendicular,29259,30,E 18TH AVE,0.07017919008857484,excellent,True,False,medium
